domain,canonical_url,category,source,selection_method,selection_timestamp
aalto.fi,https://aalto.fi,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
anu.edu.au,https://anu.edu.au,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
arizona.edu,https://arizona.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
asu.edu,https://asu.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
au.dk,https://au.dk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
auburn.edu,https://auburn.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
berkeley.edu,https://berkeley.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
bham.ac.uk,https://bham.ac.uk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
bristol.ac.uk,https://bristol.ac.uk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
brown.edu,https://brown.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
byu.edu,https://byu.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
caltech.edu,https://caltech.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
cam.ac.uk,https://cam.ac.uk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
case.edu,https://case.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
chalmers.se,https://chalmers.se,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
clemson.edu,https://clemson.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
cmu.edu,https://cmu.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
colorado.edu,https://colorado.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
colostate.edu,https://colostate.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
columbia.edu,https://columbia.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
cornell.edu,https://cornell.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
dartmouth.edu,https://dartmouth.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
dtu.dk,https://dtu.dk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
durham.ac.uk,https://durham.ac.uk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
ed.ac.uk,https://ed.ac.uk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
emory.edu,https://emory.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
epfl.ch,https://epfl.ch,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
erasmusmc.nl,https://erasmusmc.nl,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
ethz.ch,https://ethz.ch,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
fsu.edu,https://fsu.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
fu-berlin.de,https://fu-berlin.de,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
gatech.edu,https://gatech.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
georgetown.edu,https://georgetown.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
gla.ac.uk,https://gla.ac.uk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
gu.se,https://gu.se,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
harvard.edu,https://harvard.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
helsinki.fi,https://helsinki.fi,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
hu-berlin.de,https://hu-berlin.de,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
iastate.edu,https://iastate.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
imperial.ac.uk,https://imperial.ac.uk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
