domain,seed_category,canonical_url,verification_status
100r.co,Personal/independent sites,https://100r.co,VERIFIED_REAL_CURATED
3m.com,Long-running companies,https://3m.com,VERIFIED_REAL_CURATED
456bereastreet.com,Personal/independent sites,https://456bereastreet.com,VERIFIED_REAL_CURATED
68k.news,Personal/independent sites,https://68k.news,VERIFIED_REAL_CURATED
7-zip.org,Open-source/project sites,https://7-zip.org,VERIFIED_REAL_CURATED
aaronsw.com,Personal/independent sites,https://aaronsw.com,VERIFIED_REAL_CURATED
abbott.com,Long-running companies,https://abbott.com,VERIFIED_REAL_CURATED
abdn.ac.uk,Universities,https://abdn.ac.uk,VERIFIED_REAL_CURATED
abertay.ac.uk,Universities,https://abertay.ac.uk,VERIFIED_REAL_CURATED
acm.org,Nonprofits,https://acm.org,VERIFIED_REAL_CURATED
activision.com,Long-running companies,https://activision.com,VERIFIED_REAL_CURATED
adactio.com,Personal/independent sites,https://adactio.com,VERIFIED_REAL_CURATED
adelphi.edu,Universities,https://adelphi.edu,VERIFIED_REAL_CURATED
admin.ch,Government,https://admin.ch,VERIFIED_REAL_CURATED
airbus.com,Long-running companies,https://airbus.com,VERIFIED_REAL_CURATED
alabama.gov,Government,https://alabama.gov,VERIFIED_REAL_CURATED
alaska.gov,Government,https://alaska.gov,VERIFIED_REAL_CURATED
albany.edu,Universities,https://albany.edu,VERIFIED_REAL_CURATED
alistapart.com,Personal/independent sites,https://alistapart.com,VERIFIED_REAL_CURATED
alpinelinux.org,Open-source/project sites,https://alpinelinux.org,VERIFIED_REAL_CURATED
alu.org,Personal/independent sites,https://alu.org,VERIFIED_REAL_CURATED
alz.org,Nonprofits,https://alz.org,VERIFIED_REAL_CURATED
amd.com,Long-running companies,https://amd.com,VERIFIED_REAL_CURATED
amiga.com,Long-running companies,https://amiga.com,VERIFIED_REAL_CURATED
amnesty.org,Nonprofits,https://amnesty.org,VERIFIED_REAL_CURATED
amnh.org,Nonprofits,https://amnh.org,VERIFIED_REAL_CURATED
analog.com,Long-running companies,https://analog.com,VERIFIED_REAL_CURATED
anildash.com,Personal/independent sites,https://anildash.com,VERIFIED_REAL_CURATED
ansible.com,Open-source/project sites,https://ansible.com,VERIFIED_REAL_CURATED
antirez.com,Personal/independent sites,https://antirez.com,VERIFIED_REAL_CURATED
apache.org,Open-source/project sites,https://apache.org,VERIFIED_REAL_CURATED
apenwarr.ca,Personal/independent sites,https://apenwarr.ca,VERIFIED_REAL_CURATED
aph.gov.au,Government,https://aph.gov.au,VERIFIED_REAL_CURATED
apnews.com,Long-running companies,https://apnews.com,VERIFIED_REAL_CURATED
apple.com,Long-running companies,https://apple.com,VERIFIED_REAL_CURATED
arcelormittal.com,Long-running companies,https://arcelormittal.com,VERIFIED_REAL_CURATED
archive.org,Nonprofits,https://archive.org,VERIFIED_REAL_CURATED
archives.gov,Government,https://archives.gov,VERIFIED_REAL_CURATED
archlinux.org,Open-source/project sites,https://archlinux.org,VERIFIED_REAL_CURATED
argentina.gob.ar,Government,https://argentina.gob.ar,VERIFIED_REAL_CURATED
arkansas.gov,Government,https://arkansas.gov,VERIFIED_REAL_CURATED
arts.gov,Government,https://arts.gov,VERIFIED_REAL_CURATED
arxiv.org,Nonprofits,https://arxiv.org,VERIFIED_REAL_CURATED
assemblee-nationale.fr,Government,https://assemblee-nationale.fr,VERIFIED_REAL_CURATED
aston.ac.uk,Universities,https://aston.ac.uk,VERIFIED_REAL_CURATED
astralcodexten.com,Personal/independent sites,https://astralcodexten.com,VERIFIED_REAL_CURATED
astrazeneca.com,Long-running companies,https://astrazeneca.com,VERIFIED_REAL_CURATED
atari.com,Long-running companies,https://atari.com,VERIFIED_REAL_CURATED
att.com,Long-running companies,https://att.com,VERIFIED_REAL_CURATED
audacityteam.org,Open-source/project sites,https://audacityteam.org,VERIFIED_REAL_CURATED
audi.com,Long-running companies,https://audi.com,VERIFIED_REAL_CURATED
australia.gov.au,Government,https://australia.gov.au,VERIFIED_REAL_CURATED
az.gov,Government,https://az.gov,VERIFIED_REAL_CURATED
bac-lac.gc.ca,Nonprofits,https://bac-lac.gc.ca,VERIFIED_REAL_CURATED
baesystems.com,Long-running companies,https://baesystems.com,VERIFIED_REAL_CURATED
bard.edu,Universities,https://bard.edu,VERIFIED_REAL_CURATED
basf.com,Long-running companies,https://basf.com,VERIFIED_REAL_CURATED
bash.org,Open-source/project sites,https://bash.org,VERIFIED_REAL_CURATED
bath.ac.uk,Universities,https://bath.ac.uk,VERIFIED_REAL_CURATED
bayer.com,Long-running companies,https://bayer.com,VERIFIED_REAL_CURATED
baylor.edu,Universities,https://baylor.edu,VERIFIED_REAL_CURATED
bbc.co.uk,Long-running companies,https://bbc.co.uk,VERIFIED_REAL_CURATED
bbk.ac.uk,Universities,https://bbk.ac.uk,VERIFIED_REAL_CURATED
bcn.cl,Government,https://bcn.cl,VERIFIED_REAL_CURATED
bcu.ac.uk,Universities,https://bcu.ac.uk,VERIFIED_REAL_CURATED
bea.gov,Government,https://bea.gov,VERIFIED_REAL_CURATED
bearblog.dev,Personal/independent sites,https://bearblog.dev,VERIFIED_REAL_CURATED
beds.ac.uk,Universities,https://beds.ac.uk,VERIFIED_REAL_CURATED
belgium.be,Government,https://belgium.be,VERIFIED_REAL_CURATED
bell-labs.com,Long-running companies,https://bell-labs.com,VERIFIED_REAL_CURATED
berthub.eu,Personal/independent sites,https://berthub.eu,VERIFIED_REAL_CURATED
bfs.admin.ch,Government,https://bfs.admin.ch,VERIFIED_REAL_CURATED
bhp.com,Long-running companies,https://bhp.com,VERIFIED_REAL_CURATED
binghamton.edu,Universities,https://binghamton.edu,VERIFIED_REAL_CURATED
biorxiv.org,Nonprofits,https://biorxiv.org,VERIFIED_REAL_CURATED
bioware.com,Long-running companies,https://bioware.com,VERIFIED_REAL_CURATED
bka.de,Government,https://bka.de,VERIFIED_REAL_CURATED
bl.uk,Nonprofits,https://bl.uk,VERIFIED_REAL_CURATED
blackbeltjones.com,Personal/independent sites,https://blackbeltjones.com,VERIFIED_REAL_CURATED
blender.org,Open-source/project sites,https://blender.org,VERIFIED_REAL_CURATED
blizzard.com,Long-running companies,https://blizzard.com,VERIFIED_REAL_CURATED
bls.gov,Government,https://bls.gov,VERIFIED_REAL_CURATED
bmf.gv.at,Government,https://bmf.gv.at,VERIFIED_REAL_CURATED
bmwgroup.com,Long-running companies,https://bmwgroup.com,VERIFIED_REAL_CURATED
bne.es,Nonprofits,https://bne.es,VERIFIED_REAL_CURATED
bnf.fr,Nonprofits,https://bnf.fr,VERIFIED_REAL_CURATED
boe.es,Government,https://boe.es,VERIFIED_REAL_CURATED
boeing.com,Long-running companies,https://boeing.com,VERIFIED_REAL_CURATED
boingboing.net,Personal/independent sites,https://boingboing.net,VERIFIED_REAL_CURATED
boisestate.edu,Universities,https://boisestate.edu,VERIFIED_REAL_CURATED
bom.gov.au,Government,https://bom.gov.au,VERIFIED_REAL_CURATED
bookwyrm.social,Personal/independent sites,https://bookwyrm.social,VERIFIED_REAL_CURATED
boost.org,Open-source/project sites,https://boost.org,VERIFIED_REAL_CURATED
bosch.com,Long-running companies,https://bosch.com,VERIFIED_REAL_CURATED
bournemouth.ac.uk,Universities,https://bournemouth.ac.uk,VERIFIED_REAL_CURATED
bp.com,Long-running companies,https://bp.com,VERIFIED_REAL_CURATED
bradford.ac.uk,Universities,https://bradford.ac.uk,VERIFIED_REAL_CURATED
