pilot_id,domain,category,canonical_url,source_type,source_name,source_reference
pilot-0001,bcn.cl,Government,https://bcn.cl,OFFICIAL_SOURCE,BCN Chile,Chile Legislative
pilot-0002,bmf.gv.at,Government,https://bmf.gv.at,OFFICIAL_SOURCE,Ministry of Finance Austria,Austria Ministry
pilot-0003,bund.de,Government,https://bund.de,OFFICIAL_SOURCE,Bund.de,Germany Federal
pilot-0004,ca.gov,Government,https://ca.gov,OFFICIAL_SOURCE,California,US State
pilot-0005,canada.ca,Government,https://canada.ca,OFFICIAL_SOURCE,Canada.ca,Canada Federal
pilot-0006,cbo.gov,Government,https://cbo.gov,OFFICIAL_SOURCE,CBO,US Legislative
pilot-0007,cbs.nl,Government,https://cbs.nl,OFFICIAL_SOURCE,CBS Netherlands,Netherlands Statistics
pilot-0008,csiro.au,Government,https://csiro.au,OFFICIAL_SOURCE,CSIRO Australia,Australia Scientific
pilot-0009,dst.dk,Government,https://dst.dk,OFFICIAL_SOURCE,DST Denmark,Denmark Statistics
pilot-0010,fcc.gov,Government,https://fcc.gov,OFFICIAL_SOURCE,FCC,US Regulatory
pilot-0011,fl.gov,Government,https://fl.gov,OFFICIAL_SOURCE,Florida,US State
pilot-0012,gob.cl,Government,https://gob.cl,OFFICIAL_SOURCE,Gob.cl Chile,Chile Federal
pilot-0013,gob.mx,Government,https://gob.mx,OFFICIAL_SOURCE,Gob.mx Mexico,Mexico Federal
pilot-0014,gov.uk,Government,https://gov.uk,OFFICIAL_SOURCE,UK Gov,UK National
pilot-0015,gov.wales,Government,https://gov.wales,OFFICIAL_SOURCE,Welsh Government,Wales UK
pilot-0016,govt.nz,Government,https://govt.nz,OFFICIAL_SOURCE,New Zealand Gov,NZ Federal
pilot-0017,hellenicparliament.gr,Government,https://hellenicparliament.gr,OFFICIAL_SOURCE,Hellenic Parliament,Greece Legislative
pilot-0018,hhs.gov,Government,https://hhs.gov,OFFICIAL_SOURCE,HHS,US Cabinet
pilot-0019,inegi.org.mx,Government,https://inegi.org.mx,OFFICIAL_SOURCE,INEGI Mexico,Mexico Statistics
pilot-0020,iowa.gov,Government,https://iowa.gov,OFFICIAL_SOURCE,Iowa,US State
pilot-0021,isro.gov.in,Government,https://isro.gov.in,OFFICIAL_SOURCE,ISRO India,India Space
pilot-0022,istat.it,Government,https://istat.it,OFFICIAL_SOURCE,ISTAT Italy,Italy Statistics
pilot-0023,japan.go.jp,Government,https://japan.go.jp,OFFICIAL_SOURCE,Japan.go.jp,Japan Federal
pilot-0024,justice.gov,Government,https://justice.gov,OFFICIAL_SOURCE,Department of Justice,US Cabinet
pilot-0025,kantei.go.jp,Government,https://kantei.go.jp,OFFICIAL_SOURCE,Kantei Japan,Japan Executive
pilot-0026,kentucky.gov,Government,https://kentucky.gov,OFFICIAL_SOURCE,Kentucky,US State
pilot-0027,nc.gov,Government,https://nc.gov,OFFICIAL_SOURCE,North Carolina,US State
pilot-0028,nd.gov,Government,https://nd.gov,OFFICIAL_SOURCE,North Dakota,US State
pilot-0029,parl.ca,Government,https://parl.ca,OFFICIAL_SOURCE,Parliament of Canada,Canada Legislative
pilot-0030,parlamento.it,Government,https://parlamento.it,OFFICIAL_SOURCE,Parlamento Italiano,Italy Legislative
pilot-0031,planalto.gov.br,Government,https://planalto.gov.br,OFFICIAL_SOURCE,Planalto Brazil,Brazil Executive
pilot-0032,riksdagen.se,Government,https://riksdagen.se,OFFICIAL_SOURCE,Riksdagen Sweden,Sweden Legislative
pilot-0033,sd.gov,Government,https://sd.gov,OFFICIAL_SOURCE,South Dakota,US State
pilot-0034,sejm.gov.pl,Government,https://sejm.gov.pl,OFFICIAL_SOURCE,Sejm Poland,Poland Legislative
pilot-0035,senat.cz,Government,https://senat.cz,OFFICIAL_SOURCE,Senat Czech,Czech Legislative
pilot-0036,ssb.no,Government,https://ssb.no,OFFICIAL_SOURCE,SSB Norway,Norway Statistics
pilot-0037,tweedekamer.nl,Government,https://tweedekamer.nl,OFFICIAL_SOURCE,Tweede Kamer,Netherlands Legislative
pilot-0038,usa.gov,Government,https://usa.gov,OFFICIAL_SOURCE,USA.gov,US Federal Portal
pilot-0039,valtioneuvosto.fi,Government,https://valtioneuvosto.fi,OFFICIAL_SOURCE,Valtioneuvosto Finland,Finland Executive
pilot-0040,wisconsin.gov,Government,https://wisconsin.gov,OFFICIAL_SOURCE,Wisconsin,US State
pilot-0041,3m.com,Long-running companies,https://3m.com,OFFICIAL_SOURCE,3M,Founded 1902
pilot-0042,activision.com,Long-running companies,https://activision.com,OFFICIAL_SOURCE,Activision,Founded 1979
pilot-0043,att.com,Long-running companies,https://att.com,OFFICIAL_SOURCE,AT&T,Founded 1885
pilot-0044,baesystems.com,Long-running companies,https://baesystems.com,OFFICIAL_SOURCE,BAE Systems,Founded 1999
pilot-0045,bayer.com,Long-running companies,https://bayer.com,OFFICIAL_SOURCE,Bayer,Founded 1863
pilot-0046,bioware.com,Long-running companies,https://bioware.com,OFFICIAL_SOURCE,BioWare,Founded 1995
pilot-0047,boeing.com,Long-running companies,https://boeing.com,OFFICIAL_SOURCE,Boeing,Founded 1916
pilot-0048,bway.net,Long-running companies,https://bway.net,OFFICIAL_SOURCE,Bway.net,Founded 1995
pilot-0049,canon.com,Long-running companies,https://canon.com,OFFICIAL_SOURCE,Canon,Founded 1937
pilot-0050,compaq.com,Long-running companies,https://compaq.com,OFFICIAL_SOURCE,Compaq,Founded 1982
pilot-0051,cray.com,Long-running companies,https://cray.com,OFFICIAL_SOURCE,Cray / HPE,Founded 1972
pilot-0052,danone.com,Long-running companies,https://danone.com,OFFICIAL_SOURCE,Danone,Founded 1919
pilot-0053,dec.com,Long-running companies,https://dec.com,OFFICIAL_SOURCE,DEC,Founded 1957
pilot-0054,ford.com,Long-running companies,https://ford.com,OFFICIAL_SOURCE,Ford Motor Company,Founded 1903
pilot-0055,fujitsu.com,Long-running companies,https://fujitsu.com,OFFICIAL_SOURCE,Fujitsu,Founded 1935
pilot-0056,ge.com,Long-running companies,https://ge.com,OFFICIAL_SOURCE,General Electric,Founded 1892
pilot-0057,hitachi.com,Long-running companies,https://hitachi.com,OFFICIAL_SOURCE,Hitachi,Founded 1910
pilot-0058,hp.com,Long-running companies,https://hp.com,OFFICIAL_SOURCE,HP,Founded 1939
pilot-0059,hyundai.com,Long-running companies,https://hyundai.com,OFFICIAL_SOURCE,Hyundai,Founded 1967
pilot-0060,mindspring.com,Long-running companies,https://mindspring.com,OFFICIAL_SOURCE,MindSpring,Founded 1994
pilot-0061,nestle.com,Long-running companies,https://nestle.com,OFFICIAL_SOURCE,Nestle,Founded 1866
pilot-0062,novartis.com,Long-running companies,https://novartis.com,OFFICIAL_SOURCE,Novartis,Founded 1996
pilot-0063,novell.com,Long-running companies,https://novell.com,OFFICIAL_SOURCE,Novell,Founded 1979
pilot-0064,orange.com,Long-running companies,https://orange.com,OFFICIAL_SOURCE,Orange,France Telecom
pilot-0065,philips.com,Long-running companies,https://philips.com,OFFICIAL_SOURCE,Philips,Founded 1891
pilot-0066,pipeline.com,Long-running companies,https://pipeline.com,OFFICIAL_SOURCE,Pipeline,Founded 1993
pilot-0067,rolls-royce.com,Long-running companies,https://rolls-royce.com,OFFICIAL_SOURCE,Rolls-Royce,Founded 1906
pilot-0068,sony.com,Long-running companies,https://sony.com,OFFICIAL_SOURCE,Sony,Founded 1946
pilot-0069,subaru.com,Long-running companies,https://subaru.com,OFFICIAL_SOURCE,Subaru,Founded 1953
pilot-0070,volvo.com,Long-running companies,https://volvo.com,OFFICIAL_SOURCE,Volvo,Founded 1927
pilot-0071,bl.uk,Nonprofits,https://bl.uk,PUBLIC_DIRECTORY,British Library,National Library
pilot-0072,bruegel.org,Nonprofits,https://bruegel.org,PUBLIC_DIRECTORY,Bruegel,Think Tank
pilot-0073,cancerresearchuk.org,Nonprofits,https://cancerresearchuk.org,PUBLIC_DIRECTORY,Cancer Research UK,Medical Charity
pilot-0074,care.org,Nonprofits,https://care.org,PUBLIC_DIRECTORY,CARE International,Anti-Poverty
pilot-0075,caritas.org,Nonprofits,https://caritas.org,PUBLIC_DIRECTORY,Caritas,Catholic Relief
pilot-0076,crossref.org,Nonprofits,https://crossref.org,PUBLIC_DIRECTORY,CrossRef,DOI Registry
pilot-0077,csis.org,Nonprofits,https://csis.org,PUBLIC_DIRECTORY,CSIS,Think Tank
pilot-0078,edf.org,Nonprofits,https://edf.org,PUBLIC_DIRECTORY,Environmental Defense Fund,Environmental NGO
pilot-0079,esa.int,Nonprofits,https://esa.int,PUBLIC_DIRECTORY,ESA,Space Agency
pilot-0080,gutenberg.org,Nonprofits,https://gutenberg.org,PUBLIC_DIRECTORY,Project Gutenberg,eBook Library
pilot-0081,hhmi.org,Nonprofits,https://hhmi.org,PUBLIC_DIRECTORY,HHMI,Medical Philanthropy
pilot-0082,iaea.org,Nonprofits,https://iaea.org,PUBLIC_DIRECTORY,IAEA,Nuclear Energy Agency
pilot-0083,icij.org,Nonprofits,https://icij.org,PUBLIC_DIRECTORY,ICIJ,Journalism Network
pilot-0084,imf.org,Nonprofits,https://imf.org,PUBLIC_DIRECTORY,IMF,Financial Institution
pilot-0085,imo.org,Nonprofits,https://imo.org,PUBLIC_DIRECTORY,IMO,UN Maritime Agency
pilot-0086,iso.org,Nonprofits,https://iso.org,PUBLIC_DIRECTORY,ISO Standards,Global Standards Org
pilot-0087,macfound.org,Nonprofits,https://macfound.org,PUBLIC_DIRECTORY,MacArthur Foundation,Philanthropy
pilot-0088,medrxiv.org,Nonprofits,https://medrxiv.org,PUBLIC_DIRECTORY,medRxiv,Preprint Server
pilot-0089,nypl.org,Nonprofits,https://nypl.org,PUBLIC_DIRECTORY,NYPL,Public Library
