study_id,domain,category,canonical_url,source_type,source_name,source_reference
study-0001,abertay.ac.uk,Universities,https://abertay.ac.uk,PUBLIC_DATASET,Abertay University,HESA UK
study-0002,bath.ac.uk,Universities,https://bath.ac.uk,PUBLIC_DATASET,University of Bath,HESA UK
study-0003,baylor.edu,Universities,https://baylor.edu,PUBLIC_DATASET,Baylor University,US IPEDS
study-0004,bbk.ac.uk,Universities,https://bbk.ac.uk,PUBLIC_DATASET,Birkbeck,HESA UK
study-0005,binghamton.edu,Universities,https://binghamton.edu,PUBLIC_DATASET,Binghamton University,US IPEDS
study-0006,brunel.ac.uk,Universities,https://brunel.ac.uk,PUBLIC_DATASET,Brunel University London,HESA UK
study-0007,caltech.edu,Universities,https://caltech.edu,PUBLIC_DATASET,Caltech,US IPEDS
study-0008,cardiffmet.ac.uk,Universities,https://cardiffmet.ac.uk,PUBLIC_DATASET,Cardiff Metropolitan University,HESA UK
study-0009,case.edu,Universities,https://case.edu,PUBLIC_DATASET,Case Western Reserve University,US IPEDS
study-0010,cazenovia.edu,Universities,https://cazenovia.edu,PUBLIC_DATASET,Cazenovia College,US IPEDS
study-0011,clemson.edu,Universities,https://clemson.edu,PUBLIC_DATASET,Clemson University,US IPEDS
study-0012,colorado.edu,Universities,https://colorado.edu,PUBLIC_DATASET,CU Boulder,US IPEDS
study-0013,cornell.edu,Universities,https://cornell.edu,PUBLIC_DATASET,Cornell University,US IPEDS
study-0014,cuny.edu,Universities,https://cuny.edu,PUBLIC_DATASET,CUNY System,US IPEDS
study-0015,ecu.edu,Universities,https://ecu.edu,PUBLIC_DATASET,East Carolina University,US IPEDS
study-0016,ed.ac.uk,Universities,https://ed.ac.uk,PUBLIC_DATASET,University of Edinburgh,HESA UK
study-0017,fsu.edu,Universities,https://fsu.edu,PUBLIC_DATASET,Florida State University,US IPEDS
study-0018,furman.edu,Universities,https://furman.edu,PUBLIC_DATASET,Furman University,US IPEDS
study-0019,harvard.edu,Universities,https://harvard.edu,PUBLIC_DATASET,Harvard University,US IPEDS
study-0020,hofstra.edu,Universities,https://hofstra.edu,PUBLIC_DATASET,Hofstra University,US IPEDS
study-0021,hull.ac.uk,Universities,https://hull.ac.uk,PUBLIC_DATASET,University of Hull,HESA UK
study-0022,ithaca.edu,Universities,https://ithaca.edu,PUBLIC_DATASET,Ithaca College,US IPEDS
study-0023,jhu.edu,Universities,https://jhu.edu,PUBLIC_DATASET,Johns Hopkins University,US IPEDS
study-0024,kcl.ac.uk,Universities,https://kcl.ac.uk,PUBLIC_DATASET,King's College London,HESA UK
study-0025,ksu.edu,Universities,https://ksu.edu,PUBLIC_DATASET,Kansas State University,US IPEDS
study-0026,lehigh.edu,Universities,https://lehigh.edu,PUBLIC_DATASET,Lehigh University,US IPEDS
study-0027,lemoine.edu,Universities,https://lemoine.edu,PUBLIC_DATASET,Le Moyne College,US IPEDS
study-0028,lsbu.ac.uk,Universities,https://lsbu.ac.uk,PUBLIC_DATASET,London South Bank University,HESA UK
study-0029,nau.edu,Universities,https://nau.edu,PUBLIC_DATASET,Northern Arizona University,US IPEDS
study-0030,ncsu.edu,Universities,https://ncsu.edu,PUBLIC_DATASET,NC State University,US IPEDS
study-0031,nd.edu,Universities,https://nd.edu,PUBLIC_DATASET,University of Notre Dame,US IPEDS
study-0032,niagara.edu,Universities,https://niagara.edu,PUBLIC_DATASET,Niagara University,US IPEDS
study-0033,nmsu.edu,Universities,https://nmsu.edu,PUBLIC_DATASET,New Mexico State University,US IPEDS
study-0034,oldwestbury.edu,Universities,https://oldwestbury.edu,PUBLIC_DATASET,SUNY Old Westbury,US IPEDS
study-0035,olemiss.edu,Universities,https://olemiss.edu,PUBLIC_DATASET,University of Mississippi,US IPEDS
study-0036,qub.ac.uk,Universities,https://qub.ac.uk,PUBLIC_DATASET,Queen's University Belfast,HESA UK
study-0037,reading.ac.uk,Universities,https://reading.ac.uk,PUBLIC_DATASET,University of Reading,HESA UK
study-0038,salford.ac.uk,Universities,https://salford.ac.uk,PUBLIC_DATASET,University of Salford,HESA UK
study-0039,sdsu.edu,Universities,https://sdsu.edu,PUBLIC_DATASET,San Diego State University,US IPEDS
study-0040,stjohns.edu,Universities,https://stjohns.edu,PUBLIC_DATASET,St. John's University,US IPEDS
study-0041,tulane.edu,Universities,https://tulane.edu,PUBLIC_DATASET,Tulane University,US IPEDS
study-0042,ua.edu,Universities,https://ua.edu,PUBLIC_DATASET,University of Alabama,US IPEDS
study-0043,uah.edu,Universities,https://uah.edu,PUBLIC_DATASET,UAH,US IPEDS
study-0044,uci.edu,Universities,https://uci.edu,PUBLIC_DATASET,UC Irvine,US IPEDS
study-0045,uel.ac.uk,Universities,https://uel.ac.uk,PUBLIC_DATASET,University of East London,HESA UK
study-0046,ufl.edu,Universities,https://ufl.edu,PUBLIC_DATASET,University of Florida,US IPEDS
study-0047,uga.edu,Universities,https://uga.edu,PUBLIC_DATASET,University of Georgia,US IPEDS
study-0048,uidaho.edu,Universities,https://uidaho.edu,PUBLIC_DATASET,University of Idaho,US IPEDS
study-0049,uncg.edu,Universities,https://uncg.edu,PUBLIC_DATASET,UNC Greensboro,US IPEDS
study-0050,unf.edu,Universities,https://unf.edu,PUBLIC_DATASET,UNF,US IPEDS
study-0051,unlv.edu,Universities,https://unlv.edu,PUBLIC_DATASET,UNLV,US IPEDS
study-0052,upenn.edu,Universities,https://upenn.edu,PUBLIC_DATASET,University of Pennsylvania,US IPEDS
study-0053,utk.edu,Universities,https://utk.edu,PUBLIC_DATASET,University of Tennessee,US IPEDS
study-0054,uvm.edu,Universities,https://uvm.edu,PUBLIC_DATASET,University of Vermont,US IPEDS
study-0055,vanderbilt.edu,Universities,https://vanderbilt.edu,PUBLIC_DATASET,Vanderbilt University,US IPEDS
study-0056,virginia.edu,Universities,https://virginia.edu,PUBLIC_DATASET,University of Virginia,US IPEDS
study-0057,vmi.edu,Universities,https://vmi.edu,PUBLIC_DATASET,VMI,US IPEDS
study-0058,vt.edu,Universities,https://vt.edu,PUBLIC_DATASET,Virginia Tech,US IPEDS
study-0059,warwick.ac.uk,Universities,https://warwick.ac.uk,PUBLIC_DATASET,University of Warwick,HESA UK
study-0060,wlu.edu,Universities,https://wlu.edu,PUBLIC_DATASET,Washington and Lee University,US IPEDS
study-0061,assemblee-nationale.fr,Government,https://assemblee-nationale.fr,OFFICIAL_SOURCE,Assemblee Nationale,France Legislative
study-0062,bfs.admin.ch,Government,https://bfs.admin.ch,OFFICIAL_SOURCE,BFS Switzerland,Switzerland Statistics
study-0063,bls.gov,Government,https://bls.gov,OFFICIAL_SOURCE,BLS,US Statistical
study-0064,boe.es,Government,https://boe.es,OFFICIAL_SOURCE,BOE Spain,Spain Official
study-0065,bund.de,Government,https://bund.de,OFFICIAL_SOURCE,Bund.de,Germany Federal
study-0066,cbo.gov,Government,https://cbo.gov,OFFICIAL_SOURCE,CBO,US Legislative
study-0067,defense.gov,Government,https://defense.gov,OFFICIAL_SOURCE,Department of Defense,US Cabinet
study-0068,delaware.gov,Government,https://delaware.gov,OFFICIAL_SOURCE,Delaware,US State
study-0069,dst.dk,Government,https://dst.dk,OFFICIAL_SOURCE,DST Denmark,Denmark Statistics
study-0070,ed.gov,Government,https://ed.gov,OFFICIAL_SOURCE,Department of Education,US Cabinet
study-0071,fl.gov,Government,https://fl.gov,OFFICIAL_SOURCE,Florida,US State
study-0072,ft.dk,Government,https://ft.dk,OFFICIAL_SOURCE,Folketinget Denmark,Denmark Legislative
study-0073,gao.gov,Government,https://gao.gov,OFFICIAL_SOURCE,GAO,US Legislative
study-0074,gob.cl,Government,https://gob.cl,OFFICIAL_SOURCE,Gob.cl Chile,Chile Federal
study-0075,gob.mx,Government,https://gob.mx,OFFICIAL_SOURCE,Gob.mx Mexico,Mexico Federal
study-0076,gov.gr,Government,https://gov.gr,OFFICIAL_SOURCE,Gov.gr Greece,Greece Federal
study-0077,gov.ie,Government,https://gov.ie,OFFICIAL_SOURCE,Gov.ie,Ireland Federal
study-0078,gov.uk,Government,https://gov.uk,OFFICIAL_SOURCE,UK Gov,UK National
study-0079,gov.wales,Government,https://gov.wales,OFFICIAL_SOURCE,Welsh Government,Wales UK
study-0080,gov.za,Government,https://gov.za,OFFICIAL_SOURCE,Gov.za South Africa,South Africa Federal
study-0081,govt.nz,Government,https://govt.nz,OFFICIAL_SOURCE,New Zealand Gov,NZ Federal
study-0082,hellenicparliament.gr,Government,https://hellenicparliament.gr,OFFICIAL_SOURCE,Hellenic Parliament,Greece Legislative
study-0083,illinois.gov,Government,https://illinois.gov,OFFICIAL_SOURCE,Illinois,US State
study-0084,india.gov.in,Government,https://india.gov.in,OFFICIAL_SOURCE,India.gov.in,India Federal
study-0085,iowa.gov,Government,https://iowa.gov,OFFICIAL_SOURCE,Iowa,US State
study-0086,istat.it,Government,https://istat.it,OFFICIAL_SOURCE,ISTAT Italy,Italy Statistics
study-0087,japan.go.jp,Government,https://japan.go.jp,OFFICIAL_SOURCE,Japan.go.jp,Japan Federal
study-0088,justice.gov,Government,https://justice.gov,OFFICIAL_SOURCE,Department of Justice,US Cabinet
study-0089,kentucky.gov,Government,https://kentucky.gov,OFFICIAL_SOURCE,Kentucky,US State
study-0090,lamoncloa.gob.es,Government,https://lamoncloa.gob.es,OFFICIAL_SOURCE,La Moncloa,Spain Executive
study-0091,legifrance.gouv.fr,Government,https://legifrance.gouv.fr,OFFICIAL_SOURCE,Legifrance,France Legal
study-0092,mn.gov,Government,https://mn.gov,OFFICIAL_SOURCE,Minnesota,US State
study-0093,nc.gov,Government,https://nc.gov,OFFICIAL_SOURCE,North Carolina,US State
study-0094,nd.gov,Government,https://nd.gov,OFFICIAL_SOURCE,North Dakota,US State
study-0095,nebraska.gov,Government,https://nebraska.gov,OFFICIAL_SOURCE,Nebraska,US State
study-0096,noaa.gov,Government,https://noaa.gov,OFFICIAL_SOURCE,NOAA,US Scientific
study-0097,ny.gov,Government,https://ny.gov,OFFICIAL_SOURCE,New York,US State
study-0098,pa.gov,Government,https://pa.gov,OFFICIAL_SOURCE,Pennsylvania,US State
study-0099,parl.ca,Government,https://parl.ca,OFFICIAL_SOURCE,Parliament of Canada,Canada Legislative
study-0100,parlamento.pt,Government,https://parlamento.pt,OFFICIAL_SOURCE,Parlamento Portugal,Portugal Legislative
study-0101,parliament.gov.sg,Government,https://parliament.gov.sg,OFFICIAL_SOURCE,Parliament Singapore,Singapore Legislative
study-0102,parliament.uk,Government,https://parliament.uk,OFFICIAL_SOURCE,UK Parliament,UK Legislative
study-0103,regeringen.se,Government,https://regeringen.se,OFFICIAL_SOURCE,Regeringen Sweden,Sweden Executive
study-0104,regjeringen.no,Government,https://regjeringen.no,OFFICIAL_SOURCE,Regjeringen Norway,Norway Executive
study-0105,sba.gov,Government,https://sba.gov,OFFICIAL_SOURCE,SBA,US Executive
study-0106,sec.gov,Government,https://sec.gov,OFFICIAL_SOURCE,SEC,US Regulatory
study-0107,senat.cz,Government,https://senat.cz,OFFICIAL_SOURCE,Senat Czech,Czech Legislative
study-0108,senat.fr,Government,https://senat.fr,OFFICIAL_SOURCE,Senat France,France Legislative
study-0109,senate.gov,Government,https://senate.gov,OFFICIAL_SOURCE,US Senate,US Legislative
